PredictionString,image_id
0 0.123060085 475.60352 578.23517 560.2501 657.56976 0 0.118537515 245.46912 683.82886 301.167 748.75244 0 0.10430215 636.27423 254.2315 735.9084 341.09912 0 0.08233811 215.0185 694.14764 249.07343 732.6309 0 0.06478517 485.98135 601.3318 582.44196 654.1101 0 0.05770961 328.62775 638.8923 352.78717 681.14557 0 0.053117346 322.2982 568.0617 384.14597 620.9665 1 0.9307262 568.5772 112.08143 746.7902 356.41846 1 0.65618455 428.376 467.5606 572.089 679.9997 1 0.35066533 617.87616 174.35022 739.8078 339.17615 1 0.3308045 245.36603 683.9917 301.4843 748.60754 1 0.24684235 160.88063 365.39664 254.70174 449.5317 1 0.19900118 637.4831 253.92609 736.2115 342.84277 1 0.13704926 596.75006 185.783 695.60846 234.91838 1 0.12632789 582.9441 228.91827 648.6167 271.64417 1 0.09997888 474.3629 567.2789 569.4667 667.75946 1 0.08182055 671.09576 257.18008 732.49835 317.53384 1 0.0805837 485.98135 601.3318 582.44196 654.1101 1 0.056847375 645.07056 188.33499 738.8961 294.80905 1 0.05027981 543.4807 603.95734 587.3961 643.89545 2 0.10572262 245.36603 683.9917 301.4843 748.60754 5 0.8552857 339.0355 637.3249 403.3724 723.41595 5 0.4592978 395.02606 610.633 448.2774 698.80304 5 0.43442303 245.42032 683.8026 301.17776 748.5757 5 0.36994824 332.9348 614.05676 452.65503 736.8611 5 0.2667755 362.0103 590.1536 415.90417 653.6501 5 0.2591875 321.68707 565.78827 388.502 620.19244 5 0.25230402 387.86407 587.3691 452.74817 735.5644 5 0.24171485 388.99896 684.4933 424.24268 720.56226 5 0.20157945 365.18164 554.70654 443.61957 647.71045 5 0.16538604 341.7132 682.0077 430.68506 723.86365 5 0.15255544 394.13718 627.11456 413.9221 683.85956 5 0.14828126 483.70963 642.4707 555.0051 694.57544 5 0.12295147 504.98718 648.64636 549.2335 684.5674 5 0.12277928 379.99426 571.7355 414.1947 606.4706 5 0.098732986 365.5924 611.88007 412.26062 645.1923 5 0.07801102 362.1239 600.038 401.04834 641.75934 5 0.06432467 320.32812 544.6462 447.78223 633.59796 5 0.06340255 341.55713 552.2642 444.51538 706.5672 5 0.061840344 703.96906 383.13483 784.716 433.7556 5 0.054907255 398.4216 630.16113 440.15237 684.9271 6 0.10345424 428.45767 467.47012 571.21375 680.92725 6 0.051004015 245.5883 683.71924 300.99146 748.6688 7 0.9993082 216.1018 53.87422 456.96057 475.71088 7 0.9989517 603.68207 514.845 951.8387 1021.7661 7 0.9978123 119.1567 425.10846 325.99347 708.6287 7 0.9962232 449.5521 593.85986 642.3059 877.1515 7 0.9956411 391.3722 190.92206 601.01013 550.1518 7 0.99267185 560.03784 341.93158 707.4896 603.0567 7 0.987166 647.8271 326.54257 876.8422 604.7372 7 0.9804088 262.6023 433.52637 429.1411 588.8316 7 0.7340197 322.93607 567.75714 385.67166 620.9135 7 0.26847243 331.33124 611.9363 457.9568 738.8219 7 0.18017377 215.18433 693.9854 249.01065 732.8338 7 0.10037088 243.35593 406.2267 282.56625 478.9565 7 0.09871068 688.83417 316.76572 785.18317 370.49332 7 0.08951809 703.96906 383.13483 784.716 433.7556 7 0.08191811 395.50156 611.3119 448.00296 702.8384 7 0.07459349 98.68057 424.06897 587.76697 702.87256 7 0.069085695 160.22473 363.169 263.97778 454.96588 7 0.062325828 425.15564 325.0189 638.3605 891.12317 7 0.059979998 320.89706 562.31116 447.35794 647.0375 7 0.059938177 590.9037 162.56888 892.43896 688.3778 7 0.056896925 431.7483 467.81873 569.952 685.3895 7 0.056804612 39.643173 304.26514 226.60085 619.44025 7 0.05533909 387.86407 587.3691 452.74817 735.5644 7 0.053153392 474.07233 565.5828 569.99115 678.91656 ,test/0000.jpg
0 0.20763607 761.16595 665.1053 901.57196 989.8049 1 0.09977997 761.16595 665.1053 901.57196 989.8049 2 0.2411834 345.81186 253.73373 759.1854 700.15454 3 0.10419153 347.29297 255.75903 759.11475 700.50507 5 0.9469585 347.55316 256.50104 759.19794 700.9646 5 0.8385483 135.39755 1.8292847 497.14767 280.21 6 0.84653145 760.82043 665.9165 901.7058 989.6461 7 0.12745978 135.26071 1.8435669 497.129 280.1674 ,test/0001.jpg
0 0.81075454 874.79144 467.3578 1024.0 640.22546 0 0.6167974 361.50574 322.05344 966.0228 377.59354 0 0.21147743 107.51398 282.52298 423.96393 399.95706 0 0.19315849 672.19165 224.99304 867.0824 323.52258 0 0.16196372 775.1432 415.48566 1024.0 1024.0 0 0.16172586 68.180374 277.61572 375.64972 604.3356 0 0.119167514 2.0670013 230.54672 149.7625 458.52573 0 0.11632226 974.7533 230.23538 1023.92883 251.27997 0 0.11494283 658.2884 286.55038 734.4511 323.639 0 0.114041224 747.6883 230.89268 976.8902 326.60626 0 0.099589884 19.429916 275.51 294.5865 470.62415 0 0.069390886 143.91907 292.47992 319.80252 489.75183 0 0.0682795 266.46564 281.76917 412.61456 393.92017 0 0.05470095 330.71097 312.0036 996.0178 488.7574 0 0.053680576 85.044464 335.5788 311.15643 527.1773 1 0.96506137 423.48358 266.6728 642.3328 327.03894 1 0.9164525 254.3854 320.46362 1010.7074 749.458 1 0.8916806 774.98413 413.4199 1024.0 1024.0 1 0.88782394 74.7074 272.25998 426.71436 606.68677 1 0.8671073 1.5421066 232.05002 150.52612 451.1852 1 0.69195116 671.9878 225.08722 867.1399 323.5224 1 0.46933582 715.52344 228.11449 1024.0 368.4848 1 0.45628837 658.39606 286.19095 734.6164 323.78232 1 0.39581057 374.93927 318.93088 975.8796 373.2748 1 0.2815547 994.33936 300.49243 1024.0 395.9013 1 0.23257157 748.7927 230.46303 971.3379 327.0302 1 0.16517387 86.429276 283.76157 419.93433 430.36673 1 0.124966025 972.88806 230.59666 1023.854 251.37877 1 0.10759646 98.867065 316.5854 304.69937 594.76074 1 0.09368677 751.9006 316.4959 999.232 366.85498 1 0.08385571 150.6239 272.38666 1001.1294 524.4376 1 0.07895764 343.32962 257.34183 1024.0 367.21823 1 0.07524299 671.87305 229.55563 762.4066 325.63376 1 0.05889493 312.5249 439.62186 829.61194 745.93774 1 0.05632647 15.988953 251.62357 307.87393 496.97177 2 0.073847644 1.7812958 231.83594 150.52669 450.05304 4 0.94627875 866.90094 241.10939 916.77106 324.02383 5 0.071115814 0.0 222.8067 176.08472 288.16534 5 0.066272445 0.88752747 230.91 156.03558 461.35226 5 0.06319927 379.2551 319.07968 975.152 372.44986 5 0.060540497 866.91656 241.73917 916.66205 323.42227 6 0.15936597 283.1453 324.7215 1005.1278 459.091 6 0.054521922 378.03384 319.17993 974.656 373.4298 6 0.054302547 256.0117 322.81973 1012.3563 749.1045 7 0.05315298 776.5753 412.2877 1024.0 1024.0 ,test/0002.jpg
0 0.11303346 14.182266 0.0 417.14642 914.1141 0 0.098530285 0.0 0.0 1008.6344 541.11255 9 0.98418206 147.02194 261.36813 913.8801 828.39575 9 0.33253157 11.07933 0.0 280.74878 950.3308 9 0.16870117 0.0 0.0 1008.6344 541.11255 9 0.15081988 4.581787 0.0 567.7622 1024.0 9 0.08186553 0.0 114.887085 177.30127 893.2373 9 0.08166156 0.0 373.58246 369.23267 844.435 ,test/0003.jpg
0 0.6015228 426.77094 408.45245 658.16876 570.8239 0 0.25826722 210.13226 367.8711 872.88715 764.7772 0 0.071970224 204.97557 243.91147 628.61066 664.12317 1 0.87553996 205.82196 264.95038 870.86334 766.49347 1 0.38855177 421.362 408.37537 656.5389 576.2191 1 0.35144797 204.97557 243.91147 628.61066 664.12317 1 0.121433735 550.36084 332.39447 723.9796 463.95343 1 0.064598635 428.97675 335.83813 739.45404 591.71796 1 0.05540108 279.1714 370.80124 705.33234 680.8364 6 0.05477113 427.48367 510.3503 488.8173 575.4841 ,test/0004.jpg
0 0.14057523 350.3451 229.8924 778.0902 703.464 1 0.094682895 352.81686 231.85815 779.77124 698.29974 2 0.97568524 354.21906 224.38733 777.2779 705.5424 ,test/0005.jpg
0 0.9283168 897.15125 787.90015 1024.0 915.3241 0 0.5307154 601.58105 0.0 702.44763 84.896164 0 0.1725995 0.08797073 806.7799 91.18367 942.8938 0 0.15273115 193.64162 651.13007 317.51312 874.3731 0 0.100639634 3.4817047 261.98602 220.43124 502.64124 0 0.05081196 194.26425 539.48535 280.72507 713.494 1 0.122035846 294.92535 636.65045 376.15387 746.61847 1 0.05143126 193.78772 652.3696 315.26294 873.0149 4 0.8696334 429.59647 7.4452515 642.54987 278.8168 4 0.39814016 359.354 452.17517 839.9658 720.3751 5 0.71890926 359.74048 451.61603 839.0465 720.5234 5 0.3742696 0.0 52.186325 71.36017 224.7176 5 0.21500085 429.71094 7.6742554 643.72595 278.14716 6 0.63193154 601.3824 0.0 700.93976 84.68353 7 0.98245186 270.7962 6.0434265 408.54602 169.15475 7 0.33768067 0.0 46.721252 70.78122 223.91595 7 0.3169498 0.12504959 806.6934 90.930145 943.1003 7 0.093983024 265.5573 63.205376 312.82697 128.78333 7 0.0910535 211.49713 542.39844 277.55475 716.75684 9 0.07737765 193.34114 651.5392 317.56995 874.2637 ,test/0006.jpg
0 0.27857143 123.564255 176.55862 343.57898 438.62277 0 0.25378382 151.1164 133.58337 988.6817 819.95624 0 0.20546852 579.47034 466.77075 894.11194 741.194 0 0.19265641 776.5371 90.79912 840.272 177.91798 0 0.16015911 332.33224 0.76942444 997.0443 289.01978 0 0.15141363 0.0 548.0596 331.46436 1022.95337 0 0.0892314 450.7072 280.79688 998.8349 1024.0 0 0.05542552 200.28606 152.79535 589.6659 815.61725 1 0.94360554 885.995 895.147 1021.04834 1022.16956 1 0.60405326 988.78296 935.8775 1023.1317 1022.0903 1 0.5977988 345.37668 897.1329 583.2817 1022.37445 1 0.18939249 215.34352 889.75354 380.45386 1024.0 1 0.16310203 433.64355 959.42615 528.40643 1021.8933 1 0.122473076 437.09225 932.4129 607.374 1022.71185 1 0.10411589 124.78674 114.2746 993.88635 945.1125 5 0.053448834 0.0 864.7997 23.990356 1021.6444 7 0.8411177 0.0 864.3298 22.94094 1022.33673 7 0.16248317 0.21028566 872.1075 10.268084 1023.36456 9 0.8988824 282.28824 121.35184 963.7943 749.0348 9 0.7379807 579.34344 466.78094 894.1707 741.2847 9 0.16993542 450.7072 280.79688 998.8349 1024.0 9 0.09834415 0.0 547.63153 311.37494 1018.9963 9 0.087869465 288.90115 408.52252 756.25 748.00665 9 0.06327961 343.98325 0.0 945.5862 247.94632 ,test/0007.jpg
0 0.29878056 104.70891 900.5552 168.62733 971.14575 0 0.13435929 685.7406 517.7101 803.7606 696.7445 0 0.10293635 0.45332336 5.024582 314.03735 266.26678 0 0.06053845 360.31415 496.3375 459.32806 605.0684 0 0.057731573 677.003 461.9797 811.4809 632.9721 1 0.97833586 645.7102 640.4434 721.7008 758.5295 1 0.5950145 104.985695 900.58307 168.52145 971.11237 1 0.48763174 154.3683 576.5787 204.88637 659.82965 1 0.21807754 359.49203 496.99362 460.1981 626.69934 1 0.13200165 774.2272 277.5038 975.4492 616.9989 1 0.13039415 671.56134 462.0354 813.5136 621.42566 1 0.0852874 0.657959 5.107376 314.05276 266.38654 1 0.07007756 668.8476 453.08096 807.4582 519.056 1 0.05973278 155.88121 518.83453 248.82991 662.4384 2 0.23141177 360.24258 496.54535 459.31955 605.3404 2 0.1687702 104.58064 900.4686 168.6252 971.1439 2 0.053772453 154.52603 577.6655 204.21451 659.9675 5 0.20450686 666.9956 444.35406 807.34924 520.51715 5 0.14904301 774.2272 277.5038 975.4492 616.9989 5 0.13248001 359.57373 496.99197 462.11902 605.5326 5 0.11013498 671.9373 456.7963 812.6883 629.95166 5 0.06482165 3.2543793 365.08493 275.90167 562.0393 5 0.06305634 546.6593 424.92645 702.92773 618.4693 5 0.05536135 252.55736 566.17377 305.714 659.5651 5 0.05397949 685.7406 517.7101 803.7606 696.7445 5 0.05020822 649.85065 448.32996 798.63666 481.47614 5 0.05008947 15.884247 512.6422 221.01349 632.39795 6 0.9184297 773.9553 276.43713 974.98694 615.9751 7 0.9963966 158.12976 492.10352 478.22052 958.4083 7 0.99618286 397.2254 461.5581 693.0583 872.98816 7 0.99453133 2.0824127 609.6992 184.49426 874.6721 7 0.8708151 352.41617 124.65868 418.50943 224.1087 7 0.8702354 546.2144 424.57947 702.8859 620.68774 7 0.86685807 686.7634 532.8094 794.21277 694.9504 7 0.7009704 355.68283 493.11707 470.84628 699.8595 7 0.6849855 6.334564 362.51978 275.99155 622.6898 7 0.42251527 689.1764 499.5616 813.8214 614.84045 7 0.4072593 527.8782 433.6911 812.16895 636.47687 7 0.2554024 0.0 530.64514 40.553616 684.3154 7 0.23311485 0.0 405.1402 268.67908 893.8536 7 0.21742493 673.36115 451.961 812.6025 657.4013 7 0.21115308 7.5979004 501.67316 300.44257 649.12067 7 0.16275445 358.85873 497.02783 465.33743 605.52795 7 0.095401675 155.88121 518.83453 248.82991 662.4384 7 0.083708115 223.18161 486.56113 338.19998 566.8048 7 0.080753885 104.90149 900.64954 168.39655 971.2013 7 0.073306896 149.40347 515.55664 378.37466 682.8905 7 0.059655674 217.90175 501.91168 490.96295 719.9318 7 0.053161733 143.66945 788.0681 174.15941 846.1162 7 0.05308275 386.24164 594.95593 450.4768 689.0558 ,test/0008.jpg
0 0.9991291 270.1966 108.05347 661.2995 984.3458 9 0.12412609 205.3972 152.08798 367.69434 805.3169 ,test/0009.jpg
